CMDLINE C:\Users\Isaac\AppData\Local\Programs\Python\Python311\python.exe copy_of_4_double_dqn.py
MEM 1878.222656 1708462880.8282
MEM 1881.222656 1708462880.9289
MEM 1883.851562 1708462881.0294
MEM 1886.484375 1708462881.1299
MEM 1889.109375 1708462881.2304
MEM 1892.109375 1708462881.3307
MEM 1894.734375 1708462881.4310
MEM 1897.734375 1708462881.5315
MEM 1900.742188 1708462881.6319
MEM 1903.375000 1708462881.7325
MEM 1906.375000 1708462881.8329
MEM 1909.000000 1708462881.9332
MEM 1912.000000 1708462882.0336
MEM 1915.007812 1708462882.1341
MEM 1917.644531 1708462882.2346
MEM 1920.644531 1708462882.3351
MEM 1923.652344 1708462882.4356
MEM 1926.277344 1708462882.5360
MEM 1928.902344 1708462882.6362
MEM 1932.824219 1708462882.7366
MEM 1936.996094 1708462882.8372
MEM 1938.449219 1708462882.9378
MEM 1941.449219 1708462883.0382
MEM 1944.078125 1708462883.1387
MEM 1947.085938 1708462883.2394
MEM 1949.714844 1708462883.3399
MEM 1952.339844 1708462883.4407
MEM 1955.339844 1708462883.5409
MEM 1958.339844 1708462883.6413
MEM 1960.964844 1708462883.7418
MEM 1963.976562 1708462883.8424
MEM 1966.980469 1708462883.9427
MEM 1970.355469 1708462884.0431
MEM 1976.769531 1708462884.1433
MEM 1973.730469 1708462884.2439
MEM 1977.125000 1708462884.3443
MEM 1980.195312 1708462884.4449
MEM 1983.203125 1708462884.5453
MEM 1986.203125 1708462884.6456
MEM 1988.828125 1708462884.7460
MEM 1991.832031 1708462884.8464
MEM 1995.003906 1708462884.9466
MEM 1997.625000 1708462885.0469
MEM 2000.628906 1708462885.1473
MEM 2003.253906 1708462885.2477
MEM 2005.878906 1708462885.3479
MEM 2008.886719 1708462885.4484
MEM 2011.894531 1708462885.5489
MEM 2014.523438 1708462885.6491
MEM 2017.523438 1708462885.7496
MEM 2021.746094 1708462885.8502
MEM 2023.667969 1708462885.9505
MEM 2026.691406 1708462886.0511
MEM 2029.914062 1708462886.1517
MEM 2032.320312 1708462886.2521
MEM 2035.320312 1708462886.3528
MEM 2037.945312 1708462886.4530
MEM 2040.953125 1708462886.5536
MEM 2043.578125 1708462886.6540
MEM 2046.203125 1708462886.7546
MEM 2049.203125 1708462886.8551
MEM 2051.828125 1708462886.9556
MEM 2054.828125 1708462887.0561
MEM 2057.617188 1708462887.1566
MEM 2060.621094 1708462887.2572
MEM 2063.246094 1708462887.3578
MEM 2066.246094 1708462887.4582
MEM 2068.871094 1708462887.5587
MEM 2071.503906 1708462887.6592
MEM 2074.132812 1708462887.7598
MEM 2076.761719 1708462887.8603
MEM 2079.390625 1708462887.9608
MEM 2082.398438 1708462888.0611
